Danish,English
"""En forudgaaende Undersøgelse af Regnskabsføringen i de enkelte Kredse havde vist, at Fremgangsmaaderne baade ved Regnskabsføringen og ved Opgørelsen var ret uensartet i de forskellige Foreninger, hvorfor man før havde været noget betænkelig ved at paatage sig en saadan Fællesbearbejdning af tidligere Aars Regnskaber, paa hvis Affattelse Udvalget slet ingen Indflydelse havde haft.","""A preliminary survey of the accounting in the individual districts had shown that the approach to accounting as well as to the statistics was quite different in the various unions, which is why concerns had been voiced about taking on such common processing of previous years' farm returns, on which the committee did not exert any influence whatsoever."""
"(Nitrilotrimethandiyl)tris(phosphonsyre), {ethan-1,2-diylbis[nitrilobis(methylen)]} tetrakis(phosphonsyre), [(bis{2-[bis(phosphonomethyl)amino]ethyl}amino)methyl] phosphonsyre, {hexan-1,6-diylbis[nitrilobis(methylen)]}tetrakis(phosphonsyre), {[(2-hydroxyethyl)imino]bis(methylen)}bis(phosphonsyre), og [(bis{6-[bis(phosphonomethyl) amino]hexyl}amino)methyl]phosphonsyre; salte af disse produkter","(Nitrilotrimethanediyl)tris(phosphonic acid), {ethane-1,2-diylbis[nitrilobis(methylene)]}tetrakis(phosphonic acid), [(bis{2-[bis(phosphonomethyl)amino]ethyl}amino)methyl]phosphonic acid, {hexane-1,6-diylbis[nitrilobis(methylene)]}tetrakis(phosphonic acid), {[(2-hydroxyethyl)imino]bis(methylene)}bis(phosphonic acid), and [(bis{6-[bis(phosphonomethyl)amino]hexyl}amino)methyl]phosphonic acid; salts thereof"
"0,1 vægt% (undtagen indeholder biodiesel, og til kemisk omdannelse)"",""GeneralNotes"":"""",""Includes"":"""",""AlsoInclude"":"""",""Exclude"":"""",""RelatedCodes"":"""",""ParentId"":"""",""Level"":""5"",""CaseLaw"":"""",""UnitOfMeasure"": Gasolier eller bituminøse mineraler, med indhold af svovl på> 0,1 vægt% (undtagen indeholder biodiesel, og til kemisk omdannelse)","0,1% by weight (excl. containing biodiesel, and for undergoing chemical transformation)"",""GeneralNotes"":"""",""Includes"":"""",""AlsoInclude"":"""",""Exclude"":"""",""RelatedCodes"":"""",""ParentId"":"""",""Level"":""5"",""CaseLaw"":"""",""UnitOfMeasure"": Gas oils of petroleum or bituminous minerals, with a sulphur content of > 0,1% by weight (excl. containing biodiesel, and for undergoing chemical transformation)"
"0,10 mm"",""GeneralNotes"":"""",""Includes"":"""",""AlsoInclude"":"""",""Exclude"":"""",""RelatedCodes"":"""",""ParentId"":"""",""Level"":""5"",""CaseLaw"":"""",""UnitOfMeasure"": Plader, ark, film, folier, bånd og strimler, af polymerer af propylen, bortset fra celleplast, ikke med underlag eller forstærket, lamineret eller på lignende måde i forbindelse med andre materialer, ubearbejdet eller kun med overfladebehandling, eller kun tilskåret i kvadratisk eller rektangulær form, af tykkelse > 0,10 mm","0,10 mm, n.e.s."",""GeneralNotes"":"""",""Includes"":"""",""AlsoInclude"":"""",""Exclude"":"""",""RelatedCodes"":"""",""ParentId"":"""",""Level"":""5"",""CaseLaw"":"""",""UnitOfMeasure"": Plates, sheets, film, foil and strip, of non-cellular polymers of propylene, not reinforced, laminated, supported or similarly combined with other materials, not further worked or only surface-worked and not cut to shapes other than rectangular ""incl. square"" of a thickness of > 0,10 mm, n.e.s."
"0,125 mm"",""GeneralNotes"":"""",""Includes"":"""",""AlsoInclude"":"""",""Exclude"":"""",""RelatedCodes"":"""",""ParentId"":"""",""Level"":""5"",""CaseLaw"":"""",""UnitOfMeasure"": Syntetisk papirmasse i form af fugtige ark, fremstillet af usammenhængende fintforgrenede polyethylenfibre, bortset fra celleplast, også med tilsætning af <=15 vægtprocent cellulosefibre, med vandopløst poly[vinylalkohol] som fugtmiddel, af tykkelse > 0,125 mm","0,125 mm"",""GeneralNotes"":"""",""Includes"":"""",""AlsoInclude"":"""",""Exclude"":"""",""RelatedCodes"":"""",""ParentId"":"""",""Level"":""5"",""CaseLaw"":"""",""UnitOfMeasure"": Synthetic paper pulp in the form of moist sheets made from unconnected finely branched non-cellular polyethylene fibrils, whether or not blended with cellulose fibres in a quantity <= 15%, containing poly(vinyl alcohol) dissolved in water as the moistening agent, with a thickness of > 0,125 mm"
"0,15 mm (undtagen af kobber-zinklegeringer \""messing\"", kobber-tinlegeringer \""bronze\"", kobber-nikkellegeringer \""cupronikkel\"" eller kobber-nikkel-zinklegeringer \""nysølv\"" og undtagen strækmetal og isolerede elektriske bånd)"",""GeneralNotes"":"""",""Includes"":"""",""AlsoInclude"":"""",""Exclude"":"""",""RelatedCodes"":"""",""ParentId"":"""",""Level"":""5"",""CaseLaw"":"""",""UnitOfMeasure"": Plader og bånd, af kobberlegeringer, tykkelse > 0,15 mm (undtagen af kobber-zinklegeringer ""messing"", kobber-tinlegeringer ""bronze"", kobber-nikkellegeringer ""cupronikkel"" eller kobber-nikkel-zinklegeringer ""nysølv"" og undtagen strækmetal og isolerede elektriske bånd)","0,15 mm (excl. copper-zinc base alloys \""brass\"", copper-zinc base alloys \""bronze\"", copper-nickel base alloys \""cupro-nickel\"", copper-nickel-zinc base alloys \""nickel silver\"", and expanded sheet and strip and electrically insulated strip)"",""GeneralNotes"":"""",""Includes"":"""",""AlsoInclude"":"""",""Exclude"":"""",""RelatedCodes"":"""",""ParentId"":"""",""Level"":""5"",""CaseLaw"":"""",""UnitOfMeasure"": Plates, sheets and strip, of copper alloys, of a thickness of > 0,15 mm (excl. copper-zinc base alloys ""brass"", copper-zinc base alloys ""bronze"", copper-nickel base alloys ""cupro-nickel"", copper-nickel-zinc base alloys ""nickel silver"", and expanded sheet and strip and electrically insulated strip)"
"0,15 mm (undtagen strækmetal samt isolerede elektriske bånd)"",""GeneralNotes"":"""",""Includes"":"""",""AlsoInclude"":"""",""Exclude"":"""",""RelatedCodes"":"""",""ParentId"":"""",""Level"":""5"",""CaseLaw"":"""",""UnitOfMeasure"": Plader og bånd, af kobber-nikkellegeringer ""cupronikkel"" eller kobber-nikkel-zinklegeringer ""nysølv"", af tykkelse > 0,15 mm (undtagen strækmetal samt isolerede elektriske bånd)","0,15 mm (excl. expanded sheet and strip and electrically insulated strip)"",""GeneralNotes"":"""",""Includes"":"""",""AlsoInclude"":"""",""Exclude"":"""",""RelatedCodes"":"""",""ParentId"":"""",""Level"":""5"",""CaseLaw"":"""",""UnitOfMeasure"": Plates, sheets and strip, of copper-nickel base alloys ""cupro-nickel"" or copper-nickel-zinc base alloys ""nickel silver"", of a thickness of > 0,15 mm (excl. expanded sheet and strip and electrically insulated strip)"
"0,15 mm, i oprullet stand (undtagen strækmetal samt isolerede elektriske bånd)"",""GeneralNotes"":"""",""Includes"":"""",""AlsoInclude"":"""",""Exclude"":"""",""RelatedCodes"":"""",""ParentId"":"""",""Level"":""5"",""CaseLaw"":"""",""UnitOfMeasure"": Plader og bånd, af raffineret kobber, af tykkelse > 0,15 mm, i oprullet stand (undtagen strækmetal samt isolerede elektriske bånd)","0,15 mm (excl. expanded sheet and strip and electrically insulated strip)"",""GeneralNotes"":"""",""Includes"":"""",""AlsoInclude"":"""",""Exclude"":"""",""RelatedCodes"":"""",""ParentId"":"""",""Level"":""5"",""CaseLaw"":"""",""UnitOfMeasure"": Plates, sheets and strip, of refined copper, in coils, of a thickness of > 0,15 mm (excl. expanded sheet and strip and electrically insulated strip)"
"0,15 mm, ikke i oprullet stand (undtagen strækmetal samt isolerede elektriske bånd)"",""GeneralNotes"":"""",""Includes"":"""",""AlsoInclude"":"""",""Exclude"":"""",""RelatedCodes"":"""",""ParentId"":"""",""Level"":""5"",""CaseLaw"":"""",""UnitOfMeasure"": Plader og bånd, af raffineret kobber, af tykkelse > 0,15 mm, ikke i oprullet stand (undtagen strækmetal samt isolerede elektriske bånd)","0,15 mm (excl. expanded sheet and strip and electrically insulated strip)"",""GeneralNotes"":"""",""Includes"":"""",""AlsoInclude"":"""",""Exclude"":"""",""RelatedCodes"":"""",""ParentId"":"""",""Level"":""5"",""CaseLaw"":"""",""UnitOfMeasure"": Plates, sheets and strip, of refined copper, not in coils, of a thickness of > 0,15 mm (excl. expanded sheet and strip and electrically insulated strip)"
"0,15 mm, i oprullet stand (undtagen strækmetal samt isolerede elektriske bånd)"",""GeneralNotes"":"""",""Includes"":"""",""AlsoInclude"":"""",""Exclude"":"""",""RelatedCodes"":"""",""ParentId"":"""",""Level"":""5"",""CaseLaw"":"""",""UnitOfMeasure"": Plader og bånd, af kobber-tinlegeringer ""bronze"", af tykkelse > 0,15 mm, i oprullet stand (undtagen strækmetal samt isolerede elektriske bånd)","0,15 mm, in coils (excl. expanded sheet and strip and electrically insulated strip)"",""GeneralNotes"":"""",""Includes"":"""",""AlsoInclude"":"""",""Exclude"":"""",""RelatedCodes"":"""",""ParentId"":"""",""Level"":""5"",""CaseLaw"":"""",""UnitOfMeasure"": Plates, sheets and strip, of copper-tin base alloys ""bronze"", of a thickness of > 0,15 mm, in coils (excl. expanded sheet and strip and electrically insulated strip)"
