Danish,English
"""Bagefter gik vi på dækket, hvor jeg fangede et par torsk.","""After breakfast we went outside on deck to fish."
”Som direktør for Vikingeskibsmuseet er jeg utroligt glad for aftalen med Thrane & Thrane.,"""As museum director I am extremely excited about the arrangement with Thrane & Thrane."
"“På Vikingeskibsmuseet har vi flyttet forskningen ud på værftet og ud på vandet, og samspillet mellem forskere, håndværkere og sejlere har dannet grundlag for et særligt arbejdsmiljø.","""At the Viking Ship Museum we have moved the research out to the boatyard and out at sea. the interaction between archaeologists, historians, craftsmen and sailors has created the basis for a special work enviroment."
"""Men du har jo glemt det vigtigste...?!""","""But haven't you forgotten the most important bit...?!"""
”Men kom dog ned på Vikingeskibsmuseet og fornem den helt særlige stemning omkring dette projekt.,"""But you should come to the Viking Ship Museum and sense the very special mood around this project."
Espingerne blev brugt til færdsel på søer og vandløb i det indre Finland.,"""Espings"" were used for travel on the lakes and rivers of inner Finland."
"""For det første er projektet jo enestående.","""Fist of all, this project is one of a kind."
"Hånd, sprog og stil kan vise identisk ophavsmand.","""Hand"", language and style can point to identical author."
"""Jeg kender Danmark for to ting; Muhammed-krisen og Havhingsten"".","""I know Denmark for two things: the Mohammed cartoon controversy and the Sea Stallion."""
”Jeg var lidt bange et par gange.,"""I was a little afraid a couple of time."
"""Mest af alt var jeg irriteret over, at være kommet til skade, så jeg skulle forlade Havhingsten, men jeg er imponeret over hjækpsomheden og omsorgen på 'Cable One'.","""I was really annoyed to be hurt and didn't want to leave the Sea Stallion, but I was imopressed by their help and care on 'Cable One'."
"Det er en ravklump på størrelse med et hønseæg - den er lige kommet op - og den er forarbejdet med tydelige indridsninger og et boret hul, jeg kan ikke tale mere nu - jeg sender billeder!”","""It's a lump of amber the size of a chicken egg - it's just come up - and it's been worked, it has clear incisions and a drilled hole, I can't talk more now - I'll send photos!"""
"”Der er cirka 200 sømil ned til hjørnet ved Lands End. Når vi nærmer os, vurderer vi om skib og mandskab er i form til at fortsætte.","""It's about 200 nautical miles to Lands End. When we get close, we will decide whether the ship and crew are in a state to go on."
"”At dømme ud fra de mange spørgsmål, jeg modtager, er det hævet over enhver tvivl, at mange vil stå langs Kattegats strande og håbe på et glimt af Havhingsten i det fjerne.","""Judging from all the questions I get, lots of people will stand by the shores of the Kattegat and hope for a glimpse of the Sea Stallion."
"""Lange sværd","""Long swords"
