English,Danish,Match,Sim_Score
"""As museum director I am extremely excited about the arrangement with Thrane & Thrane.",”Som direktør for Vikingeskibsmuseet er jeg utroligt glad for aftalen med Thrane & Thrane.,Perfect Match,0.7484296560287476
"""Oh, yes,"" I replied, adding: ""I've also been member of the crew on board the Sea Stallion.""","""Nå ja,"" føjede jeg til: ""Jeg har også været gast om bord på Havhingsten"". """,English Match,0.7374090552330017
"""On our way to Dublin we will be sailing north and west of Scotland in waters known for their fog, rain and rough winds – that’s totally different experience than sailing in a sunny Norwegian archipelago.","På togtet til Dublin kommer vi nord og vest for Skotland ud i farvande, der er kendte for tåge, regn og barske vinde... en noget anden kop te end en norsk skærgård på en solbeskinnet midsommerdag.",English Match,0.7855129837989807
"""One very big challenge in taking on new crew is that we don't have a ship to train with.","En helt stor udfordring ved at tage nye besætningsmedlemmer ind, er at vi ikke har et skib at træne med.",English Match,0.98302161693573
"""Ottemannafar"" from Koltri, 1970 ""Rather a lot of the crew who took part in the seven-week long crossing had been members since the launch in 2004 and that required up to 120 days of preparation and sailing - including 6 weeks' training in the previous two years.","Ottemannafar fra Koltri, 1970 ""Rigtig mange af de besætningsmedlemmer som deltog i det syv uger lange togt i sommer, har været med siden søsætningen i 2004 og det har krævet op mod 120 dages forberedelse og sejlads - herunder 6 ugers træningssejlads i de forudgående to år.",No Match,0.9482248425483704
"""Rather a lot of the crew who took part in the seven-week long crossing had been members since the launch in 2004 and that required up to 120 days of preparation and sailing – including 6 weeks’ training in the previous two years.","Rigtig mange af de besætningsmedlemmer som deltog i det syv uger lange togt i sommer, har været med siden søsætningen i 2004 og det har krævet op mod 120 dages forberedelse og sejlads - herunder 6 ugers træningssejlads i de forudgående to år.",English Match,0.9443398118019104
"""The very day that was supposed to be a day of celebration - Sunday 1st July - has become a day of sorrow for we have to say good bye to Sea Stallion forever.","""Det, der skulle have været en festdag søndag den 1. juli, er nu i stedet en sorgens dag, hvor vi skal tage afsked med Havhingsten for altid.",Perfect Match,0.9007729887962341
"""Sekskeiping"" from Sunnfjord, 1860 ""Since the Skuldelev-ships were excavated in the 1960ies we have regarded them as precious stones of the Danish cultural heritage.","Kopi af sekskeiping fra Sunnfjord, 1860 ""Lige siden Skuldelev-skibene blev udgravet i 1960'erne har vi jo betragtet dem som ædelstene i den danske kulturarv.",No Match,0.9428269863128662
"""The Viking Age was ignited by the art of building seaworthy sailing ships and the skills to sail them on the open sea.","""Det var kunsten at bygge sødygtige,sejlførende skibe og fortroligheden med at sejle på åbent hav, som skabte vikingetiden.",Perfect Match,0.9451406598091125
"""Sour, mushy, heavy bread with the strangest fillings.""","Noget ”surt, svampet, tungt brød med de underligste ting på”.",Perfect Match,0.8788139820098877
"""Splash ware"" ceramic bowl from southern Iraq.","”Splash ware"" keramisk skål fra det sydlige Irak.",Perfect Match,0.9797788262367249
"""That's because the Limfjorden is not deep enough for the danish escort ship, which is escorting the Sea Stallion all the way to the Orkneys,"" Preben Rather Sørensen explains.","”Det skyldes, at vores danske følgeskib - som følger Havhingsten den lange vej til Orkneyøerne - stikker for dybt til at kunne sejle gennem Limfjorden,” forklarer Preben Rather Sørensen.",Perfect Match,0.8652529716491699
"""The ambition is sky high.","""Ambitionen er skyhøj. """,English Match,0.8696786761283875
"""The exhibition will include some of the most important artefacts from Viking Age Denmark"", explains Flemming Just, director of Sydvestjyske Museer.","Udstillingen kommer til at vise nogle af de fornemste genstande fra vikingetidens Danmark"", siger direktør for Sydvestjyske Museer Flemming Just.",English Match,0.9653549790382385
"""Where will the ship stop, so we can get a closer look?"" they ask the Viking Ship Museum's staff.","""Hvor stopper skibet, så vi kan se det tæt på?"" spørger de Vikingeskibsmuseets medarbejdere.",Perfect Match,0.963188111782074
"""The first target is to get to Lands End.",”I første omgang er ambitionen at nå Lands End.,No Match,0.8801066875457764
"'Geirfugl' could swim incredibly fast but were slow and clumsy on land, and therefore easy to catch.","Geirfuglen svømmede som et lyn, men var kluntet på land og derfor let at fange på land.",Perfect Match,0.7462802529335022
"'Bloodshed', the Viking Ship Museum gave an insight into Viking depredations in the Rhineland and the tragic situation that became a reality for their victims.","Med særudstillingen 'Blodspor' gav Vikingeskibsmuseet indblik i vikingernes hærgen i Rhinlandet og den tragiske situation, der var virkelighed for overfaldenes ofre.",Perfect Match,0.9077454805374146
'Dragons of the Northern Seas' is the result of an initiative developed by museums in the twinned towns of Suzhou and Esbjerg.,"'Dragons of the Northern Seas' er skabt på initiativ af museerne i de to venskabsbyer, Suzhou og Esbjerg.",Perfect Match,0.943726658821106
"'Dronningen' sank during its very first sea trial, which took place in windy conditions and at a speed of 8-10 knots.","’Dronningen’ gik ned på den første testsejlads, der foregik under frisk vind og en fart på 8-10 knob.",Perfect Match,0.7447643280029297
"""The Vikings were seafarers and their fantastic ability to cross oceans to plunder, conquer, trade and colonise three of the world's continents, transformed the world during the period from 800 - 1050.","""Vikingerne var søfarere, og deres fantastiske evne til at krydse havene for at plyndre, erobre, handle og bosætte sig i tre verdensdele, forandrede verden i perioden 800-1050.",Perfect Match,0.9737018942832947
"'Die Wikinger' has been created in a collaboration between Museum für Vor- und Frühgeschichte in Berlin, the British Museum in London and the National Museum in Copenhagen.","Die Wikinger' er skabt i et samarbejde mellem Museum für Vor- und Frühgeschichte i Berlin, British Museum i London og Nationalmuseet i København.",English Match,0.9909435510635376
"""We are delighted that the president has chosen the Viking Ship Museum as one of her destinations during her stay in Denmark.","Det er en stor glæde for os, at præsidenten har valgt netop Vikingeskibsmuseet som en af destinationerne under hendes ophold i Danmark.",English Match,0.9847913980484009
"""We are extremely pleased with this production.",”Vi er overordentligt fornøjede over produktet.,Perfect Match,0.9308344721794128
"'Sea Stallion from Glendalough', the 30m long reconstruction of the original Viking ship, Skuldelev 2, lies at the high quay in 'Becken 1', the enormous harbour in Berlin's western area.","Havhingsten fra Glendaglough' blev bygget på Vikingeskibsmuseets bådeværft i 2000-2004, og er med sin længde på 30 meter verdens længste rekonstruktion af et vikingeskib.",English Match,0.7579331398010254
"""We are still shocked.","""Vi er stadig chokerede.",Perfect Match,0.9801471829414368
"'Sea Stallion' is the world's longest reconstruction of a Viking ship, and the ship became world famous when it sailed with its 65-strong crew from the Viking Ship Museum in Roskilde to Dublin and back again in 2007-2008.","Havhingsten' er verden længste rekonstruktion af et vikingeskib, og skibet blev verdensberømt, da det med sin 65-mand store besætning sejlede fra Vikingeskibsmuseet i Roskilde til Dublin og retur i 2007-2008.",English Match,0.9615166187286377
"""We have also raised an objection against EU laws being valid for a ship that was built in 1042 - circa 900 years before the Rome declaration was written.","""Vi har også gjort gældende, at EU's lovgivning umuligt kan have juridisk gyldighed for et skib, der blev bygget i 1042 - cirka 900 år før Romtraktaten blev skrevet.",Perfect Match,0.931514322757721
"""We have been guided by the dreams and enthusiasm that has shaped the museum since the discovery of the ships.","“Vi har taget udgangspunkt i de drømme og den begejstring, der har formet museet siden fundet af Skuldelevskibene.",Perfect Match,0.7655192613601685
"""We have selected a range of exquisite examples of Viking Age works of art of silver and gold, to demonstrate how advanced Scandinavian design already was, 1,000 years ago"", says Søren Sindbæk, professor at Aarhus University.","""Vi har udvalgt en række udsøgte eksempler på vikingernes kunsthåndværk af sølv og guld for at vise, hvor langt fremme skandinavisk design var, allerede for mere end 1000 år siden"", siger professor Søren Sindbæk, Aarhus Universitet.",Perfect Match,0.9751543402671814
"""We hope there are, of course.","""Det håber vi selvfølgelig.",Perfect Match,0.9324987530708313
'From dream to reality' ended the great experiemtal archaeology project 'Thoroughbred of the Sea' and put a new perspective on Viking Age longships.,'Fra drøm til virkelighed' afrundede det store eksperimental arkæologiske projekt 'Fuldblod på Havet' og satte Havhingstens forsøgsrejse i perspektiv til vikingetidens langskibe.,Perfect Match,0.7915897965431213
"'Haermund Hardaxe carved these runes' 'Oak on oak', 'pine on oak' (pine planks and oak frames) or 'larch on oak' have however been the most common choices for Danish clinker-built working boats.","Hærmund Hårdøkse ristede disse runer"" ""Eg på eg"", ""fyr på eg"" (fyrretræsplanker på egespanter) eller ""lærk på eg"" har dog været det mest benyttede valg, til de danske klinkbyggede brugsbåde.",No Match,0.8555528521537781
"'Ofram the son of Sigurd carved these runes' 'Our results are based on many years experience with, and knowledge of, traditional small boats in all of Scandinavia, and of course, the maritime craftwork that they involve', concludes Vibeke Bischoff, 'However, we can't say that we have the definitive answer in terms of how the Oseberg Ship looked, only that we have a good suggestion.","""Ofram, Sigurds søn, ristede disse runer"" ”Vores resultater er baseret på mange års erfaringer og kendskab til traditionelle småbåde i hele Skandinavien og ikke mindst de maritime håndværk, der ligger bag”, slutter Vibeke Bischoff, ”men, vi kan ikke sige, at vi har det endegyldige svar på, hvordan Osebergskibet så ud, kun at vi har et godt bud.",No Match,0.9558653235435486
"'Our results are based on many years experience with, and knowledge of, traditional small boats in all of Scandinavia, and of course, the maritime craftwork that they involve', concludes Vibeke Bischoff, 'However, we can’t say that we have the definitive answer in terms of how the Oseberg Ship looked, only that we have a good suggestion.","""Ofram, Sigurds søn, ristede disse runer"" ”Vores resultater er baseret på mange års erfaringer og kendskab til traditionelle småbåde i hele Skandinavien og ikke mindst de maritime håndværk, der ligger bag”, slutter Vibeke Bischoff, ”men, vi kan ikke sige, at vi har det endegyldige svar på, hvordan Osebergskibet så ud, kun at vi har et godt bud.",English Match,0.9254889488220215
'Sea Stallion from Glendalough' was built at the Viking Ship Museum's boatyard from 2000 - 2004 and with a length of 30 meters is the world's largest Viking ship reconstruction.,"Den 30-meter lange rekonstruktion af det originale vikingeskib Skuldelev 2, 'Havhingsten fra Glendalough' ligger ved den høje kaj i 'Becken 1' i den enorme flodhavn i Berlins vestlige bydel.",English Match,0.7248221039772034
*),. ”,No Match,0.7526807188987732
